,name,type,exp,cm_00,cm_01,cm_02,cm_03,cm_10,cm_11,cm_12,cm_13,cm_20,cm_21,cm_22,cm_23,cm_30,cm_31,cm_32,cm_33,recall,precision,f1,harmonic_mean
0,dt,r v ff v t v s,strat_3,3078,33,229.0,134.0,63,2722,423.0,143.0,395.0,1329.0,3005.0,183.0,626.0,101.0,248.0,1656.0,0.7348570179052423,0.7603131194498316,0.7252011556211829,0.6914467067738858
1,nbb,r v ff v t v s,strat_3,2860,15,426.0,173.0,39,2701,503.0,108.0,302.0,1336.0,2887.0,387.0,757.0,168.0,452.0,1254.0,0.673425338780327,0.7022615619454353,0.6655128839404588,0.5968929725030341
2,knn,r v ff v t v s,strat_3,813,6,1469.0,1186.0,56,653,2462.0,180.0,120.0,6.0,4305.0,481.0,35.0,20.0,313.0,2263.0,0.5413990680967021,0.721587401772335,0.48366543163214537,0.24989032073249068
3,svm,r v ff v t v s,strat_3,2753,37,476.0,208.0,31,2662,512.0,146.0,255.0,1326.0,2916.0,415.0,684.0,175.0,424.0,1348.0,0.6732225576245898,0.6856780656701836,0.6646661729468483,0.686408887422401
0,dt,r v f,strat_3,3072,402,,,1249,9645,,,,,,,,,,,0.8853376129939934,0.9589544676938442,0.9139487369630311,0.8770420689577059
1,nbb,r v f,strat_3,2863,611,,,1699,9195,,,,,,,,,,,0.8440224597939359,0.9228077357329687,0.860055959991912,0.802674113695643
2,knn,r v f,strat_3,547,2927,,,158,10736,,,,,,,,,,,0.9854958256459507,0.7860902258695214,0.8743786469529506,0.26416317479746604
3,svm,r v f,strat_3,2682,792,,,858,10036,,,,,,,,,,,0.9212229888543483,0.9253086007210067,0.9175376608828725,0.8326515203932578
0,dt,r v ff,strat_3,3396,78,,,73,3278,,,,,,,,,,,0.9782240582800285,0.9767766751731702,0.9773693440702814,0.9777473792933277
1,nbb,r v ff,strat_3,3398,76,,,97,3254,,,,,,,,,,,0.9710669864960909,0.9772149959947585,0.9738585802139896,0.9742964023673512
2,knn,r v ff,strat_3,3444,30,,,446,2905,,,,,,,,,,,0.866884328358209,0.9887439184158101,0.9133241221726817,0.9141089100382536
3,svm,r v ff,strat_3,3374,100,,,35,3316,,,,,,,,,,,0.9895611229566453,0.9707483985827382,0.9800362634994395,0.9802737825717491
0,dt,r v s,strat_3,3299,175,,,777,1854,,,,,,,,,,,0.7045771402235281,0.9062933435300564,0.7736762126497428,0.7855225037366994
1,nbb,r v s,strat_3,3234,240,,,905,1726,,,,,,,,,,,0.6559813918654223,0.8687241423703809,0.7313548837877593,0.7480286508700751
2,knn,r v s,strat_3,1502,1972,,,29,2602,,,,,,,,,,,0.9889762645466067,0.569049812168797,0.7223335331363434,0.6011202883842117
3,svm,r v s,strat_3,3131,343,,,949,1682,,,,,,,,,,,0.6393032031340016,0.8211531042219546,0.7065718983016003,0.7295745863049781
0,dt,r v t,strat_3,3189,285,,,473,4439,,,,,,,,,,,0.9037053135297137,0.9399096998800942,0.9121146415114998,0.899962591492636
1,nbb,r v t,strat_3,2985,489,,,566,4346,,,,,,,,,,,0.884844270031295,0.8949806015435232,0.8824613836038928,0.8621178482537074
2,knn,r v t,strat_3,1927,1547,,,116,4796,,,,,,,,,,,0.9763788849701124,0.7607731623887881,0.8525437196824077,0.6964995099556737
3,svm,r v t,strat_3,3112,362,,,413,4499,,,,,,,,,,,0.9159252727965163,0.9268591288642302,0.9139198843345995,0.8968081373646797
